Acq. time (s)=	10
Accumulations=	2
Range (cm-1)=	50...1000
Grating=	600 gr/mm
Laser (nm)=	532
Power (mW)=	10.3
Instrument=	LabRAM HR Evol
Objectif=	50x
ND filter=	10%

100.0000	290
101.7544	294
103.5088	261
105.2632	310
107.0175	257
108.7719	319
110.5263	304
112.2807	361
114.0351	274
115.7895	299
117.5439	346
119.2982	332
121.0526	286
122.8070	315
124.5614	325
126.3158	373
128.0702	442
129.8246	641
131.5789	916
133.3333	1416
135.0877	1980
136.8421	2509
138.5965	2858
140.3509	3021
142.1053	2783
143.8596	2290
145.6140	1735
147.3684	1179
149.1228	793
150.8772	553
152.6316	468
154.3860	380
156.1404	435
157.8947	484
159.6491	637
161.4035	818
163.1579	1079
164.9123	1297
166.6667	1500
168.4211	1662
170.1754	1732
171.9298	1642
173.6842	1509
175.4386	1249
177.1930	1067
178.9474	737
180.7018	605
182.4561	445
184.2105	382
185.9649	352
187.7193	267
189.4737	321
191.2281	358
192.9825	298
194.7368	316
196.4912	337
198.2456	312
200.0000	310
201.7544	284
203.5088	386
205.2632	414
207.0175	461
208.7719	585
210.5263	690
212.2807	835
214.0351	1013
215.7895	1102
217.5439	1266
219.2982	1260
221.0526	1272
222.8070	1271
224.5614	1139
226.3158	972
228.0702	796
229.8246	667
231.5789	564
233.3333	473
235.0877	406
236.8421	365
238.5965	335
240.3509	290
242.1053	305
243.8596	337
245.6140	279
247.3684	308
249.1228	292
250.8772	315
252.6316	303
254.3860	350
256.1404	327
257.8947	284
259.6491	338
261.4035	311
263.1579	331
264.9123	378
266.6667	396
268.4211	485
270.1754	513
271.9298	599
273.6842	687
275.4386	773
277.1930	881
278.9474	908
280.7018	939
282.4561	921
284.2105	777
285.9649	724
287.7193	604
289.4737	530
291.2281	461
292.9825	394
294.7368	353
296.4912	349
298.2456	305
300.0000	347
301.7544	298
303.5088	389
305.2632	306
307.0175	319
308.7719	284
310.5263	360
312.2807	345
314.0351	325
315.7895	284
317.5439	323
319.2982	290
321.0526	355
322.8070	340
324.5614	325
326.3158	267
328.0702	312
329.8246	367
331.5789	403
333.3333	434
335.0877	414
336.8421	524
338.5965	621
340.3509	647
342.1053	789
343.8596	896
345.6140	970
347.3684	998
349.1228	1072
350.8772	1072
352.6316	1041
354.3860	965
356.1404	879
357.8947	790
359.6491	701
361.4035	590
363.1579	509
364.9123	458
366.6667	361
368.4211	387
370.1754	353
371.9298	341
373.6842	355
375.4386	278
377.1930	275
378.9474	330
380.7018	323
382.4561	327
384.2105	311
385.9649	340
387.7193	346
389.4737	335
391.2281	317
392.9825	271
394.7368	343
396.4912	354
398.2456	340
400.0000	302
401.7544	341
403.5088	346
405.2632	363
407.0175	303
408.7719	319
410.5263	344
412.2807	326
414.0351	297
415.7895	336
417.5439	340
419.2982	328
421.0526	331
422.8070	319
424.5614	363
426.3158	304
428.0702	312
429.8246	327
431.5789	349
433.3333	289
435.0877	294
436.8421	277
438.5965	329
440.3509	301
442.1053	322
443.8596	351
445.6140	324
447.3684	355
449.1228	354
450.8772	397
452.6316	417
454.3860	421
456.1404	476
457.8947	555
459.6491	594
461.4035	608
463.1579	716
464.9123	724
466.6667	827
468.4211	843
470.1754	832
471.9298	817
473.6842	780
475.4386	759
477.1930	681
478.9474	638
480.7018	596
482.4561	507
484.2105	458
485.9649	404
487.7193	376
489.4737	334
491.2281	381
492.9825	398
494.7368	383
496.4912	307
498.2456	370
500.0000	399
501.7544	372
503.5088	416
505.2632	406
507.0175	520
508.7719	558
510.5263	673
512.2807	718
514.0351	858
515.7895	947
517.5439	958
519.2982	978
521.0526	949
522.8070	962
524.5614	893
526.3158	790
528.0702	751
529.8246	641
